"v","r","w"
"{""id"":37,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.B1-X20-X20.2M:8"",""location"":""K1.B1"",""terminal"":""8"",""id"":""K1.B1-X20-X20.2M:8"",""type"":""panel"",""device"":""X20-X20.2M""}}","{""id"":5508,""type"":""conn"",""start"":37,""end"":36,""properties"":{""wire_number"":""198"",""color"":""BU"",""cable_type"":""LIYY 2x0.25""}}","{""id"":36,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+S1-S2"",""location"":""S1"",""terminal"":""S2"",""id"":""S1-S2""}}"
"{""id"":36,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+S1-S2"",""location"":""S1"",""terminal"":""S2"",""id"":""S1-S2""}}","{""id"":5507,""type"":""conn"",""start"":36,""end"":37,""properties"":{""wire_number"":""198"",""color"":""BU"",""cable_type"":""LIYY 2x0.25""}}","{""id"":37,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.B1-X20-X20.2M:8"",""location"":""K1.B1"",""terminal"":""8"",""id"":""K1.B1-X20-X20.2M:8"",""type"":""panel"",""device"":""X20-X20.2M""}}"
"{""id"":36,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+S1-S2"",""location"":""S1"",""terminal"":""S2"",""id"":""S1-S2""}}","{""id"":5510,""type"":""conn"",""start"":36,""end"":38,""properties"":{""wire_number"":""199"",""color"":""BN"",""cable_type"":""LIYY 2x0.25""}}","{""id"":38,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.B1-X20-X20.2M:7"",""location"":""K1.B1"",""terminal"":""7"",""id"":""K1.B1-X20-X20.2M:7"",""type"":""panel"",""device"":""X20-X20.2M""}}"
"{""id"":425,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.B1-K3:14"",""location"":""K1.B1"",""terminal"":""14"",""id"":""K1.B1-K3:14"",""type"":""panel"",""device"":""K3""}}","{""id"":3057,""type"":""conn"",""start"":425,""end"":424,""properties"":{""wire_number"":""1"",""color"":""OG""}}","{""id"":424,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H2-Q1:D2"",""location"":""K1.H2"",""terminal"":""D2"",""id"":""K1.H2-Q1:D2"",""type"":""panel"",""device"":""Q1""}}"
"{""id"":1523,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.B1-A23:X2:13"",""location"":""K1.B1"",""terminal"":""X2:13"",""id"":""K1.B1-A23:X2:13"",""type"":""PLC"",""device"":""A23""}}","{""id"":4554,""type"":""conn"",""start"":1523,""end"":425,""properties"":{""wire_number"":""1120"",""color"":""BU""}}","{""id"":425,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.B1-K3:14"",""location"":""K1.B1"",""terminal"":""14"",""id"":""K1.B1-K3:14"",""type"":""panel"",""device"":""K3""}}"
"{""id"":424,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H2-Q1:D2"",""location"":""K1.H2"",""terminal"":""D2"",""id"":""K1.H2-Q1:D2"",""type"":""panel"",""device"":""Q1""}}","{""id"":3056,""type"":""conn"",""start"":424,""end"":425,""properties"":{""wire_number"":""1"",""color"":""OG""}}","{""id"":425,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.B1-K3:14"",""location"":""K1.B1"",""terminal"":""14"",""id"":""K1.B1-K3:14"",""type"":""panel"",""device"":""K3""}}"
"{""id"":1868,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.H2-F3.1:1"",""location"":""K1.H2"",""terminal"":""1"",""id"":""K1.H2-F3.1:1"",""type"":""panel"",""device"":""F3.1""}}","{""id"":5093,""type"":""conn"",""start"":1868,""end"":426,""properties"":{""wire_number"":""1572"",""color"":""direkt verbunden""}}","{""id"":426,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H2-W0:L1"",""location"":""K1.H2"",""terminal"":""L1"",""id"":""K1.H2-W0:L1"",""type"":""panel"",""device"":""W0""}}"
"{""id"":491,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.H2-F1:1"",""location"":""K1.H2"",""terminal"":""1"",""id"":""K1.H2-F1:1"",""type"":""panel"",""device"":""F1""}}","{""id"":5055,""type"":""conn"",""start"":491,""end"":426,""properties"":{""wire_number"":""1543"",""color"":""BK""}}","{""id"":426,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H2-W0:L1"",""location"":""K1.H2"",""terminal"":""L1"",""id"":""K1.H2-W0:L1"",""type"":""panel"",""device"":""W0""}}"
"{""id"":619,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.H2-F4:1"",""location"":""K1.H2"",""terminal"":""1"",""id"":""K1.H2-F4:1"",""type"":""panel"",""device"":""F4""}}","{""id"":3301,""type"":""conn"",""start"":619,""end"":426,""properties"":{""wire_number"":""153"",""color"":""direkt verbunden""}}","{""id"":426,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H2-W0:L1"",""location"":""K1.H2"",""terminal"":""L1"",""id"":""K1.H2-W0:L1"",""type"":""panel"",""device"":""W0""}}"
"{""id"":596,""labels"":[""Vertex""],""properties"":{""function"":""M01"",""name"":""=M01+K1.H2-F2:1"",""location"":""K1.H2"",""terminal"":""1"",""id"":""K1.H2-F2:1"",""type"":""panel"",""device"":""F2""}}","{""id"":3269,""type"":""conn"",""start"":596,""end"":426,""properties"":{""wire_number"":""131"",""color"":""direkt verbunden""}}","{""id"":426,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H2-W0:L1"",""location"":""K1.H2"",""terminal"":""L1"",""id"":""K1.H2-W0:L1"",""type"":""panel"",""device"":""W0""}}"
"{""id"":580,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H2-K2:1"",""location"":""K1.H2"",""terminal"":""1"",""id"":""K1.H2-K2:1"",""type"":""panel"",""device"":""K2""}}","{""id"":3241,""type"":""conn"",""start"":580,""end"":426,""properties"":{""wire_number"":""115"",""color"":""BK""}}","{""id"":426,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H2-W0:L1"",""location"":""K1.H2"",""terminal"":""L1"",""id"":""K1.H2-W0:L1"",""type"":""panel"",""device"":""W0""}}"
"{""id"":575,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.H2-W3:3L1"",""location"":""K1.H2"",""terminal"":""3L1"",""id"":""K1.H2-W3:3L1"",""type"":""panel"",""device"":""W3""}}","{""id"":3233,""type"":""conn"",""start"":575,""end"":426,""properties"":{""wire_number"":""111"",""color"":""BK""}}","{""id"":426,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H2-W0:L1"",""location"":""K1.H2"",""terminal"":""L1"",""id"":""K1.H2-W0:L1"",""type"":""panel"",""device"":""W0""}}"
"{""id"":568,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H2-K1:1"",""location"":""K1.H2"",""terminal"":""1"",""id"":""K1.H2-K1:1"",""type"":""panel"",""device"":""K1""}}","{""id"":3223,""type"":""conn"",""start"":568,""end"":426,""properties"":{""wire_number"":""106"",""color"":""BK""}}","{""id"":426,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H2-W0:L1"",""location"":""K1.H2"",""terminal"":""L1"",""id"":""K1.H2-W0:L1"",""type"":""panel"",""device"":""W0""}}"
"{""id"":563,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.H2-W1:1L1"",""location"":""K1.H2"",""terminal"":""1L1"",""id"":""K1.H2-W1:1L1"",""type"":""panel"",""device"":""W1""}}","{""id"":3215,""type"":""conn"",""start"":563,""end"":426,""properties"":{""wire_number"":""102"",""color"":""BK""}}","{""id"":426,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H2-W0:L1"",""location"":""K1.H2"",""terminal"":""L1"",""id"":""K1.H2-W0:L1"",""type"":""panel"",""device"":""W0""}}"
"{""id"":427,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.H2-Q1:T1"",""location"":""K1.H2"",""terminal"":""T1"",""id"":""K1.H2-Q1:T1"",""type"":""panel"",""device"":""Q1""}}","{""id"":3059,""type"":""conn"",""start"":427,""end"":426,""properties"":{""wire_number"":""2"",""color"":""BK""}}","{""id"":426,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H2-W0:L1"",""location"":""K1.H2"",""terminal"":""L1"",""id"":""K1.H2-W0:L1"",""type"":""panel"",""device"":""W0""}}"
"{""id"":603,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.H1-K1:1"",""location"":""K1.H1"",""terminal"":""1"",""id"":""K1.H1-K1:1"",""type"":""panel"",""device"":""K1""}}","{""id"":5021,""type"":""conn"",""start"":603,""end"":427,""properties"":{""wire_number"":""1504"",""color"":""BK""}}","{""id"":427,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.H2-Q1:T1"",""location"":""K1.H2"",""terminal"":""T1"",""id"":""K1.H2-Q1:T1"",""type"":""panel"",""device"":""Q1""}}"
"{""id"":1121,""labels"":[""Vertex""],""properties"":{""function"":""Q01"",""name"":""=Q01+K1.B1-X20:1:1"",""location"":""K1.B1"",""terminal"":""1:1"",""id"":""K1.B1-X20:1:1"",""type"":""panel"",""device"":""X20""}}","{""id"":3941,""type"":""conn"",""start"":1121,""end"":427,""properties"":{""wire_number"":""648"",""color"":""BK""}}","{""id"":427,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.H2-Q1:T1"",""location"":""K1.H2"",""terminal"":""T1"",""id"":""K1.H2-Q1:T1"",""type"":""panel"",""device"":""Q1""}}"
"{""id"":502,""labels"":[""Vertex""],""properties"":{""function"":""Q01"",""name"":""=Q01+K1.H1-G2:L1"",""location"":""K1.H1"",""terminal"":""L1"",""id"":""K1.H1-G2:L1"",""type"":""panel"",""device"":""G2""}}","{""id"":3141,""type"":""conn"",""start"":502,""end"":427,""properties"":{""wire_number"":""65"",""color"":""BK""}}","{""id"":427,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.H2-Q1:T1"",""location"":""K1.H2"",""terminal"":""T1"",""id"":""K1.H2-Q1:T1"",""type"":""panel"",""device"":""Q1""}}"
"{""id"":501,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H2-X1:11:3"",""location"":""K1.H2"",""terminal"":""11:3"",""id"":""K1.H2-X1:11:3"",""type"":""panel"",""device"":""X1""}}","{""id"":3138,""type"":""conn"",""start"":501,""end"":427,""properties"":{""wire_number"":""64"",""color"":""BK""}}","{""id"":427,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.H2-Q1:T1"",""location"":""K1.H2"",""terminal"":""T1"",""id"":""K1.H2-Q1:T1"",""type"":""panel"",""device"":""Q1""}}"
"{""id"":426,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H2-W0:L1"",""location"":""K1.H2"",""terminal"":""L1"",""id"":""K1.H2-W0:L1"",""type"":""panel"",""device"":""W0""}}","{""id"":3058,""type"":""conn"",""start"":426,""end"":427,""properties"":{""wire_number"":""2"",""color"":""BK""}}","{""id"":427,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.H2-Q1:T1"",""location"":""K1.H2"",""terminal"":""T1"",""id"":""K1.H2-Q1:T1"",""type"":""panel"",""device"":""Q1""}}"
"{""id"":429,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.H2-Q1:L1"",""location"":""K1.H2"",""terminal"":""L1"",""id"":""K1.H2-Q1:L1"",""type"":""panel"",""device"":""Q1""}}","{""id"":3061,""type"":""conn"",""start"":429,""end"":428,""properties"":{""wire_number"":""3"",""color"":""BK""}}","{""id"":428,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H2-F0:2"",""location"":""K1.H2"",""terminal"":""2"",""id"":""K1.H2-F0:2"",""type"":""panel"",""device"":""F0""}}"
"{""id"":567,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.H2-W2:2L1"",""location"":""K1.H2"",""terminal"":""2L1"",""id"":""K1.H2-W2:2L1"",""type"":""panel"",""device"":""W2""}}","{""id"":3942,""type"":""conn"",""start"":567,""end"":429,""properties"":{""wire_number"":""649"",""color"":""direkt verbunden""}}","{""id"":429,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.H2-Q1:L1"",""location"":""K1.H2"",""terminal"":""L1"",""id"":""K1.H2-Q1:L1"",""type"":""panel"",""device"":""Q1""}}"
"{""id"":563,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.H2-W1:1L1"",""location"":""K1.H2"",""terminal"":""1L1"",""id"":""K1.H2-W1:1L1"",""type"":""panel"",""device"":""W1""}}","{""id"":3259,""type"":""conn"",""start"":563,""end"":429,""properties"":{""color"":""direkt verbunden"",""wire_number"":""1505""}}","{""id"":429,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.H2-Q1:L1"",""location"":""K1.H2"",""terminal"":""L1"",""id"":""K1.H2-Q1:L1"",""type"":""panel"",""device"":""Q1""}}"
"{""id"":430,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.H2-Q2:L1"",""location"":""K1.H2"",""terminal"":""L1"",""id"":""K1.H2-Q2:L1"",""type"":""panel"",""device"":""Q2""}}","{""id"":3063,""type"":""conn"",""start"":430,""end"":429,""properties"":{""wire_number"":""4"",""color"":""BK""}}","{""id"":429,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.H2-Q1:L1"",""location"":""K1.H2"",""terminal"":""L1"",""id"":""K1.H2-Q1:L1"",""type"":""panel"",""device"":""Q1""}}"
"{""id"":428,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H2-F0:2"",""location"":""K1.H2"",""terminal"":""2"",""id"":""K1.H2-F0:2"",""type"":""panel"",""device"":""F0""}}","{""id"":3060,""type"":""conn"",""start"":428,""end"":429,""properties"":{""wire_number"":""3"",""color"":""BK""}}","{""id"":429,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.H2-Q1:L1"",""location"":""K1.H2"",""terminal"":""L1"",""id"":""K1.H2-Q1:L1"",""type"":""panel"",""device"":""Q1""}}"
"{""id"":563,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.H2-W1:1L1"",""location"":""K1.H2"",""terminal"":""1L1"",""id"":""K1.H2-W1:1L1"",""type"":""panel"",""device"":""W1""}}","{""id"":5040,""type"":""conn"",""start"":563,""end"":430,""properties"":{""wire_number"":""1527"",""color"":""direkt verbunden""}}","{""id"":430,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.H2-Q2:L1"",""location"":""K1.H2"",""terminal"":""L1"",""id"":""K1.H2-Q2:L1"",""type"":""panel"",""device"":""Q2""}}"
"{""id"":575,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.H2-W3:3L1"",""location"":""K1.H2"",""terminal"":""3L1"",""id"":""K1.H2-W3:3L1"",""type"":""panel"",""device"":""W3""}}","{""id"":4030,""type"":""conn"",""start"":575,""end"":430,""properties"":{""wire_number"":""707"",""color"":""direkt verbunden""}}","{""id"":430,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.H2-Q2:L1"",""location"":""K1.H2"",""terminal"":""L1"",""id"":""K1.H2-Q2:L1"",""type"":""panel"",""device"":""Q2""}}"
"{""id"":429,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.H2-Q1:L1"",""location"":""K1.H2"",""terminal"":""L1"",""id"":""K1.H2-Q1:L1"",""type"":""panel"",""device"":""Q1""}}","{""id"":3062,""type"":""conn"",""start"":429,""end"":430,""properties"":{""wire_number"":""4"",""color"":""BK""}}","{""id"":430,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.H2-Q2:L1"",""location"":""K1.H2"",""terminal"":""L1"",""id"":""K1.H2-Q2:L1"",""type"":""panel"",""device"":""Q2""}}"
"{""id"":6380,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.H2-F3.2:1"",""location"":""K1.H2"",""terminal"":""1"",""id"":""K1.H2-F3.2:1"",""type"":""panel"",""device"":""F3.2""}}","{""id"":5105,""type"":""conn"",""start"":6380,""end"":431,""properties"":{""wire_number"":""1583"",""color"":""direkt verbunden""}}","{""id"":431,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H2-W0:L2"",""location"":""K1.H2"",""terminal"":""L2"",""id"":""K1.H2-W0:L2"",""type"":""panel"",""device"":""W0""}}"
"{""id"":596,""labels"":[""Vertex""],""properties"":{""function"":""M01"",""name"":""=M01+K1.H2-F2:1"",""location"":""K1.H2"",""terminal"":""1"",""id"":""K1.H2-F2:1"",""type"":""panel"",""device"":""F2""}}","{""id"":3644,""type"":""conn"",""start"":596,""end"":431,""properties"":{""wire_number"":""405"",""color"":""direkt verbunden""}}","{""id"":431,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H2-W0:L2"",""location"":""K1.H2"",""terminal"":""L2"",""id"":""K1.H2-W0:L2"",""type"":""panel"",""device"":""W0""}}"
"{""id"":608,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.H2-F3:1"",""location"":""K1.H2"",""terminal"":""1"",""id"":""K1.H2-F3:1"",""type"":""panel"",""device"":""F3""}}","{""id"":3287,""type"":""conn"",""start"":608,""end"":431,""properties"":{""wire_number"":""145"",""color"":""direkt verbunden""}}","{""id"":431,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H2-W0:L2"",""location"":""K1.H2"",""terminal"":""L2"",""id"":""K1.H2-W0:L2"",""type"":""panel"",""device"":""W0""}}"
"{""id"":583,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H2-K2:3"",""location"":""K1.H2"",""terminal"":""3"",""id"":""K1.H2-K2:3"",""type"":""panel"",""device"":""K2""}}","{""id"":3245,""type"":""conn"",""start"":583,""end"":431,""properties"":{""wire_number"":""117"",""color"":""BK""}}","{""id"":431,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H2-W0:L2"",""location"":""K1.H2"",""terminal"":""L2"",""id"":""K1.H2-W0:L2"",""type"":""panel"",""device"":""W0""}}"
"{""id"":576,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.H2-W3:3L2"",""location"":""K1.H2"",""terminal"":""3L2"",""id"":""K1.H2-W3:3L2"",""type"":""panel"",""device"":""W3""}}","{""id"":3235,""type"":""conn"",""start"":576,""end"":431,""properties"":{""wire_number"":""112"",""color"":""BK""}}","{""id"":431,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H2-W0:L2"",""location"":""K1.H2"",""terminal"":""L2"",""id"":""K1.H2-W0:L2"",""type"":""panel"",""device"":""W0""}}"
"{""id"":571,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H2-K1:3"",""location"":""K1.H2"",""terminal"":""3"",""id"":""K1.H2-K1:3"",""type"":""panel"",""device"":""K1""}}","{""id"":3227,""type"":""conn"",""start"":571,""end"":431,""properties"":{""wire_number"":""108"",""color"":""BK""}}","{""id"":431,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H2-W0:L2"",""location"":""K1.H2"",""terminal"":""L2"",""id"":""K1.H2-W0:L2"",""type"":""panel"",""device"":""W0""}}"
"{""id"":564,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.H2-W1:1L2"",""location"":""K1.H2"",""terminal"":""1L2"",""id"":""K1.H2-W1:1L2"",""type"":""panel"",""device"":""W1""}}","{""id"":3217,""type"":""conn"",""start"":564,""end"":431,""properties"":{""wire_number"":""103"",""color"":""BK""}}","{""id"":431,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H2-W0:L2"",""location"":""K1.H2"",""terminal"":""L2"",""id"":""K1.H2-W0:L2"",""type"":""panel"",""device"":""W0""}}"
"{""id"":432,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.H2-Q1:T2"",""location"":""K1.H2"",""terminal"":""T2"",""id"":""K1.H2-Q1:T2"",""type"":""panel"",""device"":""Q1""}}","{""id"":3065,""type"":""conn"",""start"":432,""end"":431,""properties"":{""wire_number"":""5"",""color"":""BK""}}","{""id"":431,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H2-W0:L2"",""location"":""K1.H2"",""terminal"":""L2"",""id"":""K1.H2-W0:L2"",""type"":""panel"",""device"":""W0""}}"
"{""id"":601,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.H1-K1:3"",""location"":""K1.H1"",""terminal"":""3"",""id"":""K1.H1-K1:3"",""type"":""panel"",""device"":""K1""}}","{""id"":5025,""type"":""conn"",""start"":601,""end"":432,""properties"":{""wire_number"":""1509"",""color"":""BK""}}","{""id"":432,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.H2-Q1:T2"",""location"":""K1.H2"",""terminal"":""T2"",""id"":""K1.H2-Q1:T2"",""type"":""panel"",""device"":""Q1""}}"
"{""id"":1124,""labels"":[""Vertex""],""properties"":{""function"":""Q01"",""name"":""=Q01+K1.B1-X20:2:1"",""location"":""K1.B1"",""terminal"":""2:1"",""id"":""K1.B1-X20:2:1"",""type"":""panel"",""device"":""X20""}}","{""id"":3947,""type"":""conn"",""start"":1124,""end"":432,""properties"":{""wire_number"":""651"",""color"":""BK""}}","{""id"":432,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.H2-Q1:T2"",""location"":""K1.H2"",""terminal"":""T2"",""id"":""K1.H2-Q1:T2"",""type"":""panel"",""device"":""Q1""}}"
